"EA-Type";"EA-Package";"EA-Name";"EA-Parent";"EA-Domain";"EA-Range";"label-nl";"ap-definition-nl";"ap-usageNote-nl";"ap-codelist";"external term";"namespace";"localname";"type";"domain";"range";"parent";"min card";"max card"
"Package";;"OSLO-Organisatie";;;;;;;;;"http://data.vlaanderen.be/ns/";"organisati";"http://www.w3.org/2002/07/owl#Ontology";;;;;
"ENUMERATION";"OSLO-Organisatie";"OrganisatieSoort";"    ";"TODO";"TODO";"TODO";"TODO";"http://data.vlaanderen.be/ns/organisatie#";"http://inspire.eu/something/something";"http://data.vlaanderen.be/ns/";"OrganisatieSoort";"http://www.w3.org/2000/01/rdf-schema#Class";;;;;;
"CLASS";"OSLO-Organisatie";"Hoedanigheid";"com.github.informatievlaanderen.oslo_ea_to_rdf.ea.impl.MemoryEAElement@5e4fa1da, com.github.informatievlaanderen.oslo_ea_to_rdf.ea.impl.MemoryEAElement@78e89bfe";;;"Hoedanigheid";"Agent met een Functie.";"Laat een Functie toe om te handelen, bv ihkv een Dienstverlening (bv diversiteitsplan wordt opgemaakt door diversieteitsambtenaar).";;"false";"http://data.vlaanderen.be/ns/";"organisatieHoedanigheid";"http://www.w3.org/2000/01/rdf-schema#Class";;;"https://www.w3.org/ns/org#Post, http://purl.org/dc/terms/Agent";;
"CLASS";"OSLO-Organisatie";"Functie";;;;"Functie";"Positie binnen een Organisatie, kan bestaan los vd persoon of personen die ze invult.";"Laat ook toe om ambsthalve posities weer te geven. Zo is een minister automatisch lid vd regering, ongeacht door welke persoon deze Functie wordt uitgeoefend.";;"true";"https://www.w3.org/ns/org#";"Post";"http://www.w3.org/2000/01/rdf-schema#Class";;;;;
"DATATYPE";"OSLO-Generiek";"ContactInfo";;;;"TODO";"TODO";;;"true";"https://schema.org/";"ContactPoint";"http://www.w3.org/2000/01/rdf-schema#Class";;;;;
"CLASS";"OSLO-Generiek";"FormeelKader";;;;"TODO";"TODO";;;"true";"http://purl.org/vocab/cpsv#";"FormalFramework";"http://www.w3.org/2000/01/rdf-schema#Class";;;;;
"CLASS";"OSLO-Organisatie";"Stopzetting";"com.github.informatievlaanderen.oslo_ea_to_rdf.ea.impl.MemoryEAElement@6be25526";;;"Stopzetting";"Gebeurtenis waarbij de Organisatie is stopgezet.";;;"false";"http://data.vlaanderen.be/ns/";"organisatieStopzetting";"http://www.w3.org/2000/01/rdf-schema#Class";;;"https://www.w3.org/ns/org#ChangeEvent";;
"CLASS";"OSLO-Organisatie";"Oprichting";"com.github.informatievlaanderen.oslo_ea_to_rdf.ea.impl.MemoryEAElement@6be25526";;;"Oprichting";"Gebeurtenis waarbij een Organisatie is opgericht.";;;"true";"http://data.europa.eu/m8g/";"FoundationEvent";"http://www.w3.org/2000/01/rdf-schema#Class";;;"https://www.w3.org/ns/org#ChangeEvent";;
"CLASS";"OSLO-Organisatie";"PubliekeOrganisatie";"com.github.informatievlaanderen.oslo_ea_to_rdf.ea.impl.MemoryEAElement@7ac9af2a";;;"Publieke Organisatie";"Een Organisatie die volgens een wettelijk kader behoort tot de publieke sector, ongeacht het bestuursniveau waarop dat kader van kracht is.";"NOTE";;"true";"http://data.europa.eu/m8g/";"PublicOrganisation";"http://www.w3.org/2000/01/rdf-schema#Class";;;"https://www.w3.org/ns/org#Organization";;
"CLASS";"OSLO-Organisatie";"GeregistreerdeOrganisatie";"com.github.informatievlaanderen.oslo_ea_to_rdf.ea.impl.MemoryEAElement@70e02081";;;"Geregistreerde Organisatie";"Organisatie met een juridisch statuut vastgelegd door registratie. Vergelijk met Formele Organisatie waarbij dit statuut ook op een andere manier verkregen kan zijn.";"In België moeten oa volgende organisaties zich registreren: vennootschap (nv, bvba etc), eenmanszaak, overheidsorgaan, stichting Bij registratie krijgt de organisatie een ondernemingsnummer en worden zijn gegevens ingevoerd in de KBO.";;"true";"http://www.w3.org/ns/regorg#";"RegisteredOrganization";"http://www.w3.org/2000/01/rdf-schema#Class";;;"https://www.w3.org/ns/org#FormalOrganization";;
"CLASS";"OSLO-Organisatie";"Samenwerkingsverband";"com.github.informatievlaanderen.oslo_ea_to_rdf.ea.impl.MemoryEAElement@7ac9af2a";;;"Samenwerkingsverband";"Samenwerking tussen twee of meer Organisaties bv ihkv een project.";"Is normaal gezien geen Formele Organisatie en ook geen Organisatie-eenheid. Heeft doorgaans een kortere levensduur dan de Organisaties in het verband. Alternatieve benamingen: project, consortium.";;"true";"https://www.w3.org/ns/org#";"OrganizationalCollaboration";"http://www.w3.org/2000/01/rdf-schema#Class";;;"https://www.w3.org/ns/org#Organization";;
